GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SprintDB Order Inventory System,com.cg.entity,Product,0,59,0,0,0,25,0,17,0,17
SprintDB Order Inventory System,com.cg.entity,Order,57,9,2,0,16,4,12,1,11,1
SprintDB Order Inventory System,com.cg.entity,Customer,6,39,0,0,2,12,2,11,2,11
SprintDB Order Inventory System,com.cg.entity,PurchaseItem,10,31,0,0,3,9,3,9,3,9
SprintDB Order Inventory System,com.cg.entity,RestockRequest,31,30,0,0,8,11,8,8,8,8
SprintDB Order Inventory System,com.cg.entity,Category,0,17,0,0,0,7,0,5,0,5
SprintDB Order Inventory System,com.cg.entity,Vendor,11,38,0,0,3,11,3,11,3,11
SprintDB Order Inventory System,com.cg.entity,Purchase,44,28,4,0,10,8,12,7,10,7
SprintDB Order Inventory System,com.cg.service.impl,PurchaseServiceImpl,0,152,2,8,0,33,2,9,0,6
SprintDB Order Inventory System,com.cg.service.impl,CustomerServiceImpl,0,22,0,0,0,7,0,3,0,3
SprintDB Order Inventory System,com.cg.service.impl,CategoryServiceImpl,50,77,0,2,8,16,4,7,4,6
SprintDB Order Inventory System,com.cg.service.impl,ProductServiceImpl,157,228,9,7,19,42,18,11,11,10
SprintDB Order Inventory System,com.cg.service.impl,VendorServiceImpl,13,150,1,5,2,35,2,12,1,10
SprintDB Order Inventory System,com.cg.service.impl,RestockServiceImpl,102,12,4,0,23,5,12,1,10,1
SprintDB Order Inventory System,com.cg.exception,GlobalExceptionHandler,30,43,2,0,4,7,2,4,1,4
SprintDB Order Inventory System,com.cg.exception,ApiError,0,33,0,0,0,12,0,6,0,6
SprintDB Order Inventory System,com.cg.exception,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
SprintDB Order Inventory System,com.cg.exception,BadRequestException,0,4,0,0,0,1,0,1,0,1
SprintDB Order Inventory System,com.cg.enums,PaymentMode,0,27,0,0,0,2,0,1,0,1
SprintDB Order Inventory System,com.cg.enums,OrderStatus,0,27,0,0,0,2,0,1,0,1
SprintDB Order Inventory System,com.cg.enums,RestockStatus,0,27,0,0,0,2,0,1,0,1
SprintDB Order Inventory System,com.cg.dto,PurchaseCreateDto,0,38,0,0,0,11,0,11,0,11
SprintDB Order Inventory System,com.cg.dto,ProductStockAlertDto,29,27,0,0,8,10,8,4,8,4
SprintDB Order Inventory System,com.cg.dto,RestockDto,3,28,0,0,1,12,1,8,1,8
SprintDB Order Inventory System,com.cg.dto,ProductDto,16,64,0,0,5,18,5,18,5,18
SprintDB Order Inventory System,com.cg.dto,CategoryDto,11,15,0,0,5,6,3,3,3,3
SprintDB Order Inventory System,com.cg.dto,VendorDto,23,33,0,0,11,12,6,6,6,6
SprintDB Order Inventory System,com.cg.dto,CustomerRowDto,35,51,0,0,9,18,9,9,9,9
SprintDB Order Inventory System,com.cg,SprintDbApplication,5,3,0,0,2,1,1,1,1,1
SprintDB Order Inventory System,com.cg.controller,AdminCategoryController,12,66,0,0,3,20,0,5,0,5
SprintDB Order Inventory System,com.cg.controller,PaymentsController,34,6,0,0,6,3,2,1,2,1
SprintDB Order Inventory System,com.cg.controller,DashboardController,28,497,13,31,1,75,16,23,3,14
SprintDB Order Inventory System,com.cg.controller,OrdersController,0,70,1,5,0,11,1,4,0,2
SprintDB Order Inventory System,com.cg.controller,ProductController,263,45,33,1,59,12,23,3,6,3
SprintDB Order Inventory System,com.cg.controller,RestockController,150,163,19,15,35,40,17,8,2,6
SprintDB Order Inventory System,com.cg.controller,CustomerController,0,24,0,0,0,8,0,3,0,3
SprintDB Order Inventory System,com.cg.controller,AdminVendorController,15,66,0,0,3,20,0,5,0,5
SprintDB Order Inventory System,com.cg.controller,CategoryController,0,67,0,0,0,19,0,5,0,5
SprintDB Order Inventory System,com.cg.controller,AuthController,0,5,0,0,0,2,0,2,0,2
SprintDB Order Inventory System,com.cg.config,SecurityConfig,0,119,0,0,0,23,0,7,0,7
